landuse,latitudes,longitudes
grass,"[45.4289697, 45.4290242, 45.4290708, 45.4291191, 45.4291533, 45.4291704, 45.4291657, 45.4291439, 45.4291035, 45.4290273, 45.4289573, 45.4288702, 45.4287053, 45.428528, 45.4284362, 45.4283802, 45.428318, 45.4282713, 45.4282635, 45.4282775, 45.4283117, 45.4283537, 45.4284082, 45.4284735, 45.4285497, 45.4286384, 45.4287255, 45.4288157, 45.4288951, 45.4289697]","[9.2454836, 9.2455816, 9.2457232, 9.2458834, 9.2460856, 9.2463221, 9.2465383, 9.2468043, 9.2469707, 9.2471963, 9.2473472, 9.2475012, 9.2472803, 9.2469801, 9.2468074, 9.2466612, 9.2464465, 9.246151, 9.245913, 9.2457201, 9.2456019, 9.2454992, 9.2454152, 9.2453452, 9.2453017, 9.2452799, 9.2452892, 9.2453281, 9.2453825, 9.2454836]"
grass,"[45.4285471, 45.4283645, 45.4282559, 45.4280871, 45.4279369, 45.4277936, 45.4276457, 45.427544, 45.4274723, 45.4273422, 45.4272678, 45.4272342, 45.4272038, 45.4271811, 45.4271834, 45.4271996, 45.4272319, 45.4273128, 45.4274053, 45.4275162, 45.4276549, 45.4277543, 45.4278528, 45.4279577, 45.4280941, 45.4285471]","[9.2479479, 9.247726, 9.2476243, 9.2475319, 9.247481, 9.2474648, 9.247488, 9.2475296, 9.2475642, 9.2476934, 9.2478043, 9.2478832, 9.2479656, 9.248075, 9.2482507, 9.2483825, 9.2485096, 9.2486598, 9.2487476, 9.2487962, 9.2488101, 9.2487916, 9.2487295, 9.2486552, 9.248498, 9.2479479]"
residential,"[45.4246488, 45.4247381, 45.4248064, 45.4248826, 45.4257541, 45.4258426, 45.4258719, 45.4259197, 45.4259442, 45.4259449, 45.4256624, 45.425601, 45.4255038, 45.4254025, 45.424961, 45.4248625, 45.424779, 45.4246488]","[9.2528128, 9.2529545, 9.2530629, 9.2531839, 9.2524919, 9.2526823, 9.2526579, 9.252618, 9.2525509, 9.2524455, 9.2518769, 9.251753, 9.251835, 9.2519169, 9.2524308, 9.2525469, 9.2526453, 9.2528128]"
grass,"[45.4343803, 45.4341886, 45.4345173, 45.4344799, 45.4344388, 45.4344114, 45.434394, 45.4343803]","[9.2358258, 9.2362538, 9.2359793, 9.235965, 9.235939, 9.2359077, 9.2358596, 9.2358258]"
grass,"[45.4344976, 45.4344479, 45.4344456, 45.4344514, 45.4344666, 45.4344958, 45.4345256, 45.4345624, 45.4345794, 45.4347531, 45.4344976]","[9.2356089, 9.2357146, 9.2357662, 9.2358095, 9.235842, 9.2358712, 9.2358853, 9.2358803, 9.2358712, 9.2355628, 9.2356089]"
grass,"[45.43482, 45.4347265, 45.4346558, 45.4345945, 45.4346769, 45.4347774, 45.4348066, 45.4348602, 45.4349121, 45.4349192, 45.4349241, 45.4349133, 45.4348953, 45.4348631, 45.4348377, 45.43482]","[9.2351441, 9.2352399, 9.2353273, 9.2354372, 9.2354397, 9.2354164, 9.2354031, 9.2353388, 9.2352499, 9.2352237, 9.2351662, 9.2351289, 9.2351102, 9.2351113, 9.2351225, 9.2351441]"
military,"[45.472196, 45.4715115, 45.4714751, 45.4714692, 45.4721835, 45.4722138, 45.4722606, 45.4722517, 45.4722115, 45.472196]","[9.2693319, 9.2695035, 9.2705675, 9.2707403, 9.2708684, 9.2708738, 9.270168, 9.2697102, 9.2694374, 9.2693319]"
brownfield,"[45.4336278, 45.4341841, 45.4344894, 45.4351667, 45.4347835, 45.4336278]","[9.2439868, 9.2447201, 9.2442118, 9.243084, 9.2421093, 9.2439868]"
farmland,"[45.4298183, 45.4320582, 45.432524, 45.4318412, 45.4314069, 45.4313505, 45.4303768, 45.4304295, 45.4298145, 45.4298183]","[9.2473286, 9.2499947, 9.2498077, 9.2510005, 9.2503917, 9.2504882, 9.2490801, 9.2489943, 9.2480045, 9.2473286]"
meadow,"[45.4333834, 45.4321524, 45.4318814, 45.4317684, 45.4332403, 45.4333834]","[9.2523602, 9.2508957, 9.2510835, 9.2514429, 9.2530415, 9.2523602]"
