landuse,latitudes,longitudes
residential,"[45.4539713, 45.4550616, 45.4553161, 45.4557116, 45.4562618, 45.4550809, 45.4543944, 45.4537067, 45.4533372, 45.4526967, 45.4539713]","[9.207106, 9.2079998, 9.2073786, 9.2063673, 9.205004, 9.2043383, 9.2039678, 9.2035926, 9.2044684, 9.2060616, 9.207106]"
residential,"[45.4536965, 45.453326, 45.4526821, 45.4519795, 45.4518438, 45.4517993, 45.4516575, 45.451229, 45.4507783, 45.4507031, 45.4499488, 45.4498473, 45.4497977, 45.4497908, 45.4498053, 45.4503479, 45.450944, 45.4510022, 45.4515575, 45.4516396, 45.4517014, 45.4518362, 45.451952, 45.4522135, 45.4526134, 45.4536965]","[9.2035876, 9.2044596, 9.20605, 9.2055235, 9.2054202, 9.2053531, 9.2055686, 9.2062669, 9.2069959, 9.2071399, 9.2065409, 9.206333, 9.2061904, 9.2061209, 9.2060755, 9.2051876, 9.2042312, 9.2041383, 9.2031968, 9.2030559, 9.20296, 9.2028334, 9.2027405, 9.2028176, 9.2030005, 9.2035876]"
residential,"[45.4519127, 45.4518228, 45.4517083, 45.4519127]","[9.2079927, 9.2082547, 9.2079692, 9.2079927]"
residential,"[45.4519174, 45.451703, 45.4516895, 45.4507168, 45.4507926, 45.4512448, 45.4516768, 45.4517923, 45.4518275, 45.4519702, 45.452674, 45.4519174]","[9.2079751, 9.2079508, 9.2079441, 9.2071505, 9.2070007, 9.2062664, 9.2055682, 9.2053919, 9.205445, 9.2055505, 9.2060659, 9.2079751]"
residential,"[45.4525189, 45.4523744, 45.4523721, 45.4523756, 45.4523874, 45.4523909, 45.452395, 45.4514019, 45.4505116, 45.4503881, 45.4503828, 45.4503704, 45.4503487, 45.4503316, 45.4503111, 45.4508462, 45.4513342, 45.4516024, 45.4519299, 45.4520949, 45.452117, 45.4522111, 45.4522967, 45.4521309, 45.4519772, 45.4518868, 45.4517786, 45.4517194, 45.4516894, 45.4515944, 45.451504, 45.4514496, 45.4519967, 45.4526612, 45.4533158, 45.4537908, 45.4538343, 45.4532073, 45.4531679, 45.4525189]","[9.218855, 9.2192267, 9.2192895, 9.2196266, 9.219697, 9.2199152, 9.2206343, 9.2206431, 9.2206615, 9.2206322, 9.2205836, 9.2205225, 9.2204648, 9.2204336, 9.2204051, 9.2191064, 9.2178614, 9.218084, 9.2183544, 9.2184909, 9.2184348, 9.2182045, 9.2179863, 9.2178519, 9.2177257, 9.2179478, 9.2178584, 9.2178106, 9.2177788, 9.2177015, 9.217628, 9.2175861, 9.2162534, 9.2145882, 9.2151246, 9.2155083, 9.2155477, 9.2171144, 9.2172325, 9.218855]"
retail,"[45.4522967, 45.4522111, 45.452117, 45.4520949, 45.4519299, 45.4516024, 45.4513342, 45.4514496, 45.451504, 45.4515944, 45.4516894, 45.4517194, 45.4517786, 45.4518868, 45.4519772, 45.4521309, 45.4522967]","[9.2179863, 9.2182045, 9.2184348, 9.2184909, 9.2183544, 9.218084, 9.2178614, 9.2175861, 9.217628, 9.2177015, 9.2177788, 9.2178106, 9.2178584, 9.2179478, 9.2177257, 9.2178519, 9.2179863]"
residential,"[45.4523969, 45.4523919, 45.4523976, 45.4525313, 45.4526913, 45.4529342, 45.4531769, 45.4532165, 45.4538424, 45.4541828, 45.4545158, 45.4546981, 45.4547895, 45.455269, 45.45548, 45.455673, 45.4556094, 45.4555414, 45.454675, 45.4544767, 45.4542562, 45.454148, 45.4536893, 45.4536241, 45.4532675, 45.4523969]","[9.2196338, 9.219233, 9.2192122, 9.218853, 9.2184531, 9.2178487, 9.2172415, 9.2171161, 9.2155539, 9.2158198, 9.2160791, 9.2161987, 9.2162599, 9.2165237, 9.2166426, 9.2167338, 9.2168094, 9.2169045, 9.2180455, 9.2181878, 9.2184884, 9.2187086, 9.2194927, 9.2196176, 9.2196271, 9.2196338]"
residential,"[45.452402, 45.4524086, 45.4524266, 45.4524955, 45.4525402, 45.4535927, 45.4535927, 45.4535936, 45.4535878, 45.4535801, 45.4535675, 45.4535457, 45.452402]","[9.2197003, 9.2206489, 9.2215108, 9.2215838, 9.221583, 9.2215674, 9.2208793, 9.2198436, 9.2197788, 9.2197429, 9.2197153, 9.2196811, 9.2197003]"
residential,"[45.4514966, 45.4518209, 45.452439, 45.4536075, 45.4535925, 45.4525345, 45.4524256, 45.4523972, 45.4523715, 45.45221, 45.4516576, 45.4515452, 45.4514211, 45.4513892, 45.451385, 45.4514162, 45.4514516, 45.4514966]","[9.2238855, 9.2240264, 9.224006, 9.2239957, 9.2216013, 9.2216022, 9.2216259, 9.2216585, 9.2216971, 9.2219705, 9.2229252, 9.223122, 9.2233585, 9.2234751, 9.2235295, 9.2237015, 9.2237707, 9.2238855]"
residential,"[45.4546749, 45.4546776, 45.4546138, 45.4545292, 45.4544758, 45.4543554, 45.454253, 45.4541538, 45.4541546, 45.454155, 45.4541581, 45.4541695, 45.4543095, 45.4545028, 45.4546166, 45.4546801, 45.4546761, 45.4536521, 45.4536327, 45.4543115, 45.454313, 45.4543134, 45.4543136, 45.4543164, 45.4545255, 45.454611, 45.4546749]","[9.2248733, 9.2253424, 9.2253424, 9.225343, 9.2253434, 9.2253443, 9.2253451, 9.2253458, 9.2254244, 9.2254709, 9.2258001, 9.2258, 9.2257982, 9.2257957, 9.2257942, 9.2257932, 9.2268376, 9.2268597, 9.2240386, 9.2240166, 9.2243287, 9.2244297, 9.2244891, 9.2248799, 9.2248742, 9.2248739, 9.2248733]"
industrial,"[45.4536718, 45.453694, 45.4537153, 45.4537375, 45.4537753, 45.4538555, 45.4539561, 45.4541867, 45.4544489, 45.4546539, 45.4548778, 45.4551244, 45.4553889, 45.4559529, 45.4561966, 45.4561731, 45.4548451, 45.4537268, 45.4536557, 45.4536575, 45.4536718]","[9.2288691, 9.2290249, 9.2291049, 9.2291476, 9.2291807, 9.2292221, 9.2292221, 9.2292331, 9.2293021, 9.229291, 9.2292869, 9.2292193, 9.2292087, 9.2292019, 9.2291926, 9.226846, 9.2268661, 9.2268845, 9.2268803, 9.227697, 9.2288691]"
residential,"[45.4506996, 45.4506795, 45.4506501, 45.4504824, 45.4502422, 45.4502745, 45.4503127, 45.4503427, 45.4503656, 45.4503797, 45.4503891, 45.4503896, 45.4505131, 45.4505252, 45.4514904, 45.4523955, 45.4524071, 45.4524032, 45.4523896, 45.4523626, 45.4521962, 45.4516438, 45.4514086, 45.4513764, 45.4513709, 45.4514024, 45.4512918, 45.4511881, 45.4506996]","[9.2236038, 9.2236169, 9.2235374, 9.2224602, 9.2209778, 9.220956, 9.220915, 9.2208664, 9.2208125, 9.2207606, 9.2207053, 9.2206467, 9.2206769, 9.2206767, 9.2206568, 9.2206501, 9.2215038, 9.221622, 9.2216441, 9.2216835, 9.2219657, 9.2229197, 9.2233542, 9.2234684, 9.223536, 9.2236936, 9.2236298, 9.2235859, 9.2236038]"
retail,"[45.4501762, 45.4503058, 45.4504469, 45.4504845, 45.450774, 45.4507187, 45.4505758, 45.4502681, 45.4502398, 45.4502044, 45.450113, 45.4496509, 45.4498981, 45.4499711, 45.4501345, 45.4501762]","[9.2193992, 9.2194943, 9.2196101, 9.2196398, 9.2188975, 9.2188493, 9.2187354, 9.2184802, 9.2185528, 9.2185242, 9.2184475, 9.2186783, 9.2196405, 9.2196046, 9.2195212, 9.2193992]"
residential,"[45.4504845, 45.4502148, 45.4501649, 45.450119, 45.4500772, 45.4498981, 45.4499711, 45.4501345, 45.4501762, 45.4503058, 45.4504469, 45.4504845]","[9.2196398, 9.2203196, 9.2203062, 9.22031, 9.2203235, 9.2196405, 9.2196046, 9.2195212, 9.2193992, 9.2194943, 9.2196101, 9.2196398]"
residential,"[45.4496509, 45.4495653, 45.4495531, 45.4495018, 45.4494303, 45.4494442, 45.4494442, 45.449436, 45.4494229, 45.4494016, 45.4494098, 45.4494246, 45.4494278, 45.4498041, 45.4501866, 45.4518702, 45.4513794, 45.450774, 45.4507187, 45.4505758, 45.4502681, 45.4502398, 45.4502044, 45.450113, 45.4496509]","[9.2186783, 9.2183311, 9.2181927, 9.2179965, 9.2178619, 9.2178187, 9.2177627, 9.2177218, 9.2176914, 9.2176669, 9.2175163, 9.2174253, 9.2173143, 9.2160846, 9.2147995, 9.2161763, 9.2174061, 9.2188975, 9.2188493, 9.2187354, 9.2184802, 9.2185528, 9.2185242, 9.2184475, 9.2186783]"
industrial,"[45.4511241, 45.4507828, 45.4505033, 45.4504228, 45.4506136, 45.4506286, 45.4513838, 45.4519236, 45.4521627, 45.4521262, 45.4520724, 45.4519638, 45.4518805, 45.4516876, 45.4514669, 45.4514585, 45.451377, 45.4514025, 45.4512843, 45.451295, 45.4513291, 45.4513454, 45.4512426, 45.4510138, 45.4511241]","[9.2143949, 9.2141214, 9.2138977, 9.2138328, 9.2130308, 9.2129422, 9.213551, 9.2139935, 9.2141972, 9.2142838, 9.214416, 9.2147032, 9.2149098, 9.2147505, 9.2152969, 9.2153176, 9.215253, 9.2151819, 9.2150963, 9.2150705, 9.2149875, 9.2149381, 9.214856, 9.2146732, 9.2143949]"
residential,"[45.4521627, 45.4525408, 45.4525097, 45.4518783, 45.4501958, 45.4504228, 45.4505033, 45.4507828, 45.4511241, 45.4510138, 45.4512426, 45.4513454, 45.4513291, 45.451295, 45.4512843, 45.4514025, 45.451377, 45.4514585, 45.4514669, 45.4516876, 45.4518805, 45.4519614, 45.4520724, 45.4521262, 45.4521627]","[9.2141972, 9.2145054, 9.2146242, 9.2161554, 9.2147725, 9.2138328, 9.2138977, 9.2141214, 9.2143949, 9.2146732, 9.214856, 9.2149381, 9.2149875, 9.2150705, 9.2150963, 9.2151819, 9.215253, 9.2153176, 9.2152969, 9.2147505, 9.2149098, 9.2147016, 9.214416, 9.2142838, 9.2141972]"
retail,"[45.4500845, 45.4499652, 45.4498259, 45.4498133, 45.4497647, 45.4497245, 45.4496658, 45.449628, 45.4501116, 45.4501755, 45.4505975, 45.4506134, 45.4501058, 45.4500845]","[9.2126262, 9.2130606, 9.213568, 9.2136066, 9.2137973, 9.2139582, 9.2141779, 9.2143118, 9.2147034, 9.2147409, 9.2130206, 9.2129336, 9.2125542, 9.2126262]"
residential,"[45.449628, 45.448278, 45.4489185, 45.4501058, 45.4500845, 45.4499652, 45.4498259, 45.4498133, 45.4497647, 45.4497245, 45.4496658, 45.449628]","[9.2143118, 9.2132014, 9.2116074, 9.2125542, 9.2126262, 9.2130606, 9.213568, 9.2136066, 9.2137973, 9.2139582, 9.2141779, 9.2143118]"
residential,"[45.4482588, 45.4479788, 45.4477677, 45.4475432, 45.4475277, 45.4475299, 45.4475521, 45.4475899, 45.4491674, 45.4492187, 45.4492569, 45.4494178, 45.450157, 45.4500949, 45.4482588]","[9.2132578, 9.2139516, 9.2144679, 9.2150444, 9.2151236, 9.2152123, 9.2152978, 9.2153675, 9.2172376, 9.2172712, 9.2172841, 9.2173009, 9.2147934, 9.2147478, 9.2132578]"
industrial,"[45.4475422, 45.4474936, 45.4472646, 45.4472284, 45.4471729, 45.4471238, 45.4474207, 45.4474503, 45.447476, 45.4475003, 45.4475111, 45.4475367, 45.4475664, 45.4479287, 45.4478902, 45.4475422]","[9.2164391, 9.2163946, 9.2161844, 9.2161511, 9.2161002, 9.2160554, 9.215315, 9.2152746, 9.215265, 9.2152631, 9.2153073, 9.2153631, 9.2154016, 9.2158266, 9.2158866, 9.2164391]"
industrial,"[45.4490301, 45.4490682, 45.4483715, 45.4483323, 45.4482676, 45.4482484, 45.4481875, 45.4478184, 45.4477866, 45.4471467, 45.4471363, 45.4471134, 45.4470378, 45.4470435, 45.4470675, 45.4471411, 45.4483828, 45.4483799, 45.4487287, 45.4487742, 45.4490301]","[9.217227, 9.2171642, 9.2163465, 9.2164074, 9.2165175, 9.2165504, 9.2166541, 9.2172828, 9.2173369, 9.2173914, 9.2173923, 9.2173942, 9.2174005, 9.2174249, 9.2174738, 9.2174689, 9.2173627, 9.2172898, 9.2172561, 9.2172517, 9.217227]"
residential,"[45.4471238, 45.4469981, 45.4469846, 45.4469807, 45.4470271, 45.4470378, 45.4471134, 45.4471363, 45.4471467, 45.4477866, 45.4478184, 45.4481875, 45.4482484, 45.4482676, 45.4483323, 45.4483715, 45.4479287, 45.4478902, 45.4475422, 45.4474936, 45.4472646, 45.4472284, 45.4471729, 45.4471238]","[9.2160554, 9.2163661, 9.2164102, 9.216453, 9.2173588, 9.2174005, 9.2173942, 9.2173923, 9.2173914, 9.2173369, 9.2172828, 9.2166541, 9.2165504, 9.2165175, 9.2164074, 9.2163465, 9.2158266, 9.2158866, 9.2164391, 9.2163946, 9.2161844, 9.2161511, 9.2161002, 9.2160554]"
residential,"[45.4470675, 45.4470823, 45.448546, 45.4486317, 45.4486488, 45.4486968, 45.4487459, 45.4491059, 45.4491185, 45.4491459, 45.4491638, 45.4491855, 45.4492438, 45.4492472, 45.4492552, 45.4492781, 45.4493043, 45.4493238, 45.4493546, 45.4493843, 45.4493957, 45.4494072, 45.4494117, 45.4494049, 45.4492507, 45.4492118, 45.4491867, 45.4491547, 45.4491193, 45.4490682, 45.4490301, 45.4487742, 45.4487287, 45.4483799, 45.4483828, 45.4471411, 45.4470675]","[9.2174738, 9.2175057, 9.2194043, 9.2195085, 9.2195248, 9.2195509, 9.2193213, 9.2182175, 9.2181703, 9.2180074, 9.2179423, 9.2178902, 9.2178121, 9.2177665, 9.2177193, 9.2176769, 9.2176525, 9.2176395, 9.2176395, 9.2176492, 9.2175027, 9.2174261, 9.2173578, 9.2173284, 9.217317, 9.217304, 9.2172894, 9.2172639, 9.2172232, 9.2171642, 9.217227, 9.2172517, 9.2172561, 9.2172898, 9.2173627, 9.2174689, 9.2174738]"
residential,"[45.4485056, 45.448878, 45.4499026, 45.4498999, 45.4499175, 45.4499472, 45.449993, 45.4500281, 45.4500537, 45.449538, 45.4495299, 45.4494813, 45.4494206, 45.4494044, 45.4493896, 45.4493559, 45.4493275, 45.449306, 45.4492803, 45.4492641, 45.449252, 45.4492021, 45.4491643, 45.4491346, 45.4487668, 45.4487129, 45.4485056]","[9.2210566, 9.2209605, 9.2206893, 9.2206105, 9.2205259, 9.2204508, 9.2203835, 9.220347, 9.2203335, 9.2183471, 9.218199, 9.2180163, 9.2178875, 9.2179144, 9.2179221, 9.2179336, 9.2179336, 9.2179202, 9.2178971, 9.217874, 9.2178509, 9.2179163, 9.2180355, 9.2182125, 9.2193416, 9.2195859, 9.2210566]"
brownfield,"[45.4483696, 45.4482924, 45.44833, 45.448315, 45.4483474, 45.4485976, 45.4487591, 45.4488193, 45.4488682, 45.4490225, 45.4489886, 45.4488833, 45.4488588, 45.4487591, 45.4483696]","[9.222626, 9.2228433, 9.2228889, 9.2229801, 9.2230022, 9.223157, 9.223251, 9.2232537, 9.2232295, 9.2229533, 9.222854, 9.2228218, 9.2229157, 9.2228889, 9.222626]"
retail,"[45.4485976, 45.4485784, 45.4485306, 45.4483859, 45.448379, 45.4483112, 45.4481946, 45.4482604, 45.4482924, 45.44833, 45.448315, 45.4483474, 45.4485976]","[9.223157, 9.2233331, 9.2233367, 9.223347, 9.2233475, 9.2233341, 9.2232939, 9.2228326, 9.2228433, 9.2228889, 9.2229801, 9.2230022, 9.223157]"
residential,"[45.4482604, 45.4482975, 45.448259, 45.4481969, 45.4480771, 45.4481173, 45.448142, 45.4482562, 45.4483208, 45.4483575, 45.4484996, 45.4488902, 45.4499058, 45.4499229, 45.4499572, 45.4500097, 45.4500669, 45.4501331, 45.4501891, 45.4502302, 45.450635, 45.4506482, 45.4506656, 45.4505886, 45.450547, 45.4504298, 45.4502245, 45.4501092, 45.4499913, 45.4498935, 45.4487968, 45.4481221, 45.4481489, 45.4481421, 45.4481946, 45.4483112, 45.4483859, 45.4485306, 45.4485784, 45.4485976, 45.4487591, 45.4488193, 45.4488682, 45.4490225, 45.4489886, 45.4488833, 45.4488588, 45.4487591, 45.4483696, 45.4482924, 45.4482604]","[9.2228326, 9.2225642, 9.2225549, 9.222533, 9.2225045, 9.2222025, 9.2220655, 9.2221013, 9.222118, 9.2221297, 9.2211003, 9.2209884, 9.2207278, 9.2208092, 9.2208874, 9.2209509, 9.2209916, 9.2210128, 9.2210095, 9.2209896, 9.2235306, 9.223582, 9.2236304, 9.2237569, 9.2238667, 9.2239418, 9.2240386, 9.2239641, 9.2238995, 9.2238887, 9.2238964, 9.2238965, 9.223679, 9.2236309, 9.2232939, 9.2233341, 9.223347, 9.2233367, 9.2233331, 9.223157, 9.223251, 9.2232537, 9.2232295, 9.2229533, 9.222854, 9.2228218, 9.2229157, 9.2228889, 9.222626, 9.2228433, 9.2228326]"
commercial,"[45.4475228, 45.4474357, 45.4473254, 45.4471549, 45.4470532, 45.4471718, 45.4471822, 45.4472668, 45.4473938, 45.4470024, 45.4470532, 45.447136, 45.4472847, 45.4477918, 45.4477787, 45.447884, 45.448458, 45.4485615, 45.4476391, 45.4476206, 45.4475698, 45.4475341, 45.4474814, 45.4475039, 45.4475228]","[9.2112314, 9.2112406, 9.2112522, 9.2112702, 9.2114392, 9.2115841, 9.2117705, 9.2118714, 9.2120132, 9.2127286, 9.2127903, 9.2128547, 9.2129485, 9.2117308, 9.2113875, 9.2111381, 9.2115994, 9.2113231, 9.2105653, 9.2105501, 9.2106091, 9.210644, 9.2106762, 9.2108505, 9.2112314]"
retail,"[45.4472847, 45.4476455, 45.4478, 45.4480804, 45.4488882, 45.4485615, 45.448458, 45.447884, 45.4477787, 45.4477918, 45.4472847]","[9.2129485, 9.213243, 9.213377, 9.2136019, 9.2115875, 9.2113231, 9.2115994, 9.2111381, 9.2113875, 9.2117308, 9.2129485]"
residential,"[45.4475228, 45.4475039, 45.4474814, 45.4473931, 45.447308, 45.4472335, 45.4471363, 45.4470846, 45.4465699, 45.4459597, 45.4459684, 45.4459896, 45.4460158, 45.4460703, 45.4459995, 45.4460159, 45.446028, 45.4460495, 45.446065, 45.4460475, 45.4461412, 45.4461355, 45.4461412, 45.4461656, 45.4464927, 45.4465507, 45.4466529, 45.4467824, 45.4468868, 45.4469607, 45.4470095, 45.4470298, 45.4470102, 45.4469665, 45.4469684, 45.4469849, 45.4471, 45.4474055, 45.4474326, 45.4474675, 45.4475013, 45.4474955, 45.4474945, 45.4475032, 45.4475197, 45.4477675, 45.4480804, 45.4478, 45.4476455, 45.4472847, 45.447136, 45.4470532, 45.4470024, 45.4473938, 45.4472668, 45.4471822, 45.4471718, 45.4470532, 45.4471549, 45.4473254, 45.4474357, 45.4475228]","[9.2112314, 9.2108505, 9.2106762, 9.2107071, 9.2107084, 9.2106878, 9.2107429, 9.210827, 9.2116584, 9.2126422, 9.212809, 9.2131266, 9.2132772, 9.213505, 9.2135424, 9.2139327, 9.213952, 9.2139864, 9.2143518, 9.2143738, 9.2164401, 9.2167096, 9.2169783, 9.2174619, 9.2174351, 9.2172966, 9.2173582, 9.217414, 9.2174415, 9.2174496, 9.217444, 9.2174399, 9.2173551, 9.2164595, 9.2163975, 9.2163479, 9.2160556, 9.2152885, 9.2152568, 9.2152361, 9.215232, 9.2151865, 9.2151286, 9.2150679, 9.2150045, 9.2143588, 9.2136019, 9.213377, 9.213243, 9.2129485, 9.2128547, 9.2127903, 9.2127286, 9.2120132, 9.2118714, 9.2117705, 9.2115841, 9.2114392, 9.2112702, 9.2112522, 9.2112406, 9.2112314]"
residential,"[45.4477127, 45.4479616, 45.4480563, 45.4480661, 45.448475, 45.4486186, 45.4480662, 45.4477127]","[9.2202691, 9.2203325, 9.2210763, 9.2211529, 9.2210579, 9.2200955, 9.2199425, 9.2202691]"
industrial,"[45.4477127, 45.4480662, 45.4486186, 45.4486804, 45.4486902, 45.4486222, 45.4470582, 45.4470298, 45.4470095, 45.4469607, 45.4468868, 45.4467824, 45.4466529, 45.4465507, 45.4464927, 45.4461656, 45.4462476, 45.4462337, 45.4463405, 45.4464358, 45.4468271, 45.4469765, 45.4470976, 45.4476191, 45.4477725, 45.4479322, 45.4480248, 45.4481449, 45.4482129, 45.448259, 45.4481969, 45.4480771, 45.4481173, 45.448142, 45.4482562, 45.4483208, 45.4484599, 45.4480752, 45.4480661, 45.4480563, 45.4478077, 45.4477127]","[9.2202691, 9.2199425, 9.2200955, 9.2196326, 9.2195824, 9.219538, 9.2175141, 9.2174399, 9.217444, 9.2174496, 9.2174415, 9.217414, 9.2173582, 9.2172966, 9.2174351, 9.2174619, 9.2191053, 9.2192478, 9.2214962, 9.2238309, 9.2237864, 9.2237093, 9.2236175, 9.2231266, 9.2229823, 9.2229155, 9.2228973, 9.2228748, 9.2228868, 9.2225549, 9.222533, 9.2225045, 9.2222025, 9.2220655, 9.2221013, 9.222118, 9.2211156, 9.2212147, 9.2211529, 9.2210763, 9.2211335, 9.2202691]"
retail,"[45.4482129, 45.4481077, 45.4481186, 45.4481208, 45.4481221, 45.4480138, 45.4478373, 45.4477369, 45.4476213, 45.4475734, 45.4475297, 45.4475036, 45.4474992, 45.4475428, 45.4475712, 45.4476061, 45.4476453, 45.4476191, 45.4477725, 45.4479322, 45.4480248, 45.4481449, 45.4482129]","[9.2228868, 9.2236475, 9.2236879, 9.2237532, 9.2238965, 9.2238136, 9.22389, 9.2239055, 9.2238993, 9.2238807, 9.2238309, 9.2237625, 9.2236817, 9.2234423, 9.2233677, 9.223321, 9.2232775, 9.2231266, 9.2229823, 9.2229155, 9.2228973, 9.2228748, 9.2228868]"
allotments,"[45.4464427, 45.4466059, 45.4467118, 45.446799, 45.4468271, 45.4464358, 45.4464427]","[9.2240003, 9.2239986, 9.2239086, 9.2238278, 9.2237864, 9.2238309, 9.2240003]"
grass,"[45.4466059, 45.4479818, 45.4480138, 45.4478373, 45.4477369, 45.4476213, 45.4475734, 45.4475297, 45.4475036, 45.4474992, 45.4475428, 45.4475712, 45.4476061, 45.4476453, 45.4476191, 45.4470976, 45.4469765, 45.4468271, 45.446799, 45.4467118, 45.4466059]","[9.2239986, 9.223988, 9.2238136, 9.22389, 9.2239055, 9.2238993, 9.2238807, 9.2238309, 9.2237625, 9.2236817, 9.2234423, 9.2233677, 9.223321, 9.2232775, 9.2231266, 9.2236175, 9.2237093, 9.2237864, 9.2238278, 9.2239086, 9.2239986]"
commercial,"[45.4640149, 45.4640071, 45.4630571, 45.4629739, 45.4621609, 45.4621727, 45.4621741, 45.4621777, 45.462184, 45.4638944, 45.4638999, 45.4639223, 45.4639228, 45.4640001, 45.4640156, 45.4640258, 45.4640149]","[9.2427803, 9.2435084, 9.2434983, 9.2434983, 9.2434877, 9.2416664, 9.2414629, 9.2409134, 9.2408947, 9.2408789, 9.2409461, 9.2412169, 9.2413023, 9.2413051, 9.2414226, 9.2415531, 9.2427803]"
grass,"[45.4621168, 45.4621225, 45.4621297, 45.4621425, 45.4621624, 45.4621853, 45.4622195, 45.462258, 45.462305, 45.4623535, 45.4624148, 45.4624775, 45.4625417, 45.4626044, 45.4626671, 45.462727, 45.4627869, 45.4628382, 45.4629881, 45.4630808, 45.4631335, 45.4631749, 45.4632048, 45.4632234, 45.4632362, 45.4632405, 45.4632362, 45.4632234, 45.4632006, 45.4631706, 45.4631335, 45.463095, 45.4630523, 45.4630095, 45.462961, 45.4629054, 45.4628466, 45.4627952, 45.4627339, 45.4624334, 45.4623479, 45.4622257, 45.4622258, 45.4621168]","[9.2501301, 9.2493874, 9.2492878, 9.2491943, 9.2490987, 9.2490194, 9.2489402, 9.2488751, 9.2488182, 9.2487766, 9.2487379, 9.2487156, 9.2487034, 9.2487075, 9.2487237, 9.2487542, 9.2487928, 9.2488375, 9.2489798, 9.2490774, 9.2491486, 9.2492278, 9.2493112, 9.2493945, 9.2494799, 9.2495632, 9.2496527, 9.2497381, 9.2498194, 9.2499027, 9.2499738, 9.2500308, 9.2500816, 9.2501243, 9.2501609, 9.2501873, 9.2502018, 9.2502059, 9.2502018, 9.2501652, 9.2501591, 9.250153, 9.2501314, 9.2501301]"
grass,"[45.4636827, 45.463675, 45.4636666, 45.4636938, 45.4638186, 45.4638416, 45.4638416, 45.4639334, 45.4640372, 45.4641428, 45.4643154, 45.4643191, 45.4641911, 45.4640643, 45.4639267, 45.4638869, 45.4637749, 45.4637738, 45.4636827]","[9.2506974, 9.2507617, 9.2508209, 9.2508226, 9.2508335, 9.250834, 9.2508512, 9.2508616, 9.2508771, 9.250896, 9.2509339, 9.2509098, 9.2508581, 9.2508082, 9.2507514, 9.2507635, 9.2507228, 9.2507294, 9.2506974]"
grass,"[45.4458506, 45.4459826, 45.4459403, 45.4458276, 45.4458506]","[9.21483, 9.2178032, 9.2178077, 9.215198, 9.21483]"
railway,"[45.4464427, 45.4462968, 45.4462856, 45.4462416, 45.4459826, 45.4458506, 45.4457819, 45.4457502, 45.445825, 45.4458553, 45.4459093, 45.445936, 45.4459657, 45.4459684, 45.4459896, 45.4460158, 45.4460703, 45.4459995, 45.4460159, 45.446028, 45.4460495, 45.446065, 45.4460475, 45.4461412, 45.4461355, 45.4461412, 45.4461656, 45.4462476, 45.4462337, 45.4463405, 45.4464358, 45.4464427]","[9.2240003, 9.2240019, 9.2237985, 9.2238002, 9.2178032, 9.21483, 9.2132797, 9.2125059, 9.2123868, 9.2123385, 9.2122526, 9.2122101, 9.2127589, 9.212809, 9.2131266, 9.2132772, 9.213505, 9.2135424, 9.2139327, 9.213952, 9.2139864, 9.2143518, 9.2143738, 9.2164401, 9.2167096, 9.2169783, 9.2174619, 9.2191053, 9.2192478, 9.2214962, 9.2238309, 9.2240003]"
grass,"[45.45097, 45.4521653, 45.4521853, 45.4522921, 45.4510528, 45.4510353, 45.4509725, 45.45097]","[9.229322, 9.2293073, 9.2293108, 9.2293452, 9.2293607, 9.2293581, 9.2293323, 9.229322]"
grass,"[45.4429363, 45.4428612, 45.4428153, 45.44289, 45.4429363]","[9.2248181, 9.2249444, 9.2248866, 9.2247619, 9.2248181]"
grass,"[45.4428476, 45.4428018, 45.442762, 45.4428082, 45.4428476]","[9.2249672, 9.224909, 9.2249755, 9.2250335, 9.2249672]"
grass,"[45.4426168, 45.4426641, 45.4427388, 45.4426917, 45.4426168]","[9.2252179, 9.2252759, 9.2251503, 9.2250928, 9.2252179]"
grass,"[45.4427896, 45.4427522, 45.4427052, 45.4427427, 45.4427896]","[9.2250649, 9.2251278, 9.2250704, 9.2250078, 9.2250649]"
grass,"[45.4426886, 45.4425494, 45.4421668, 45.442307, 45.4426886]","[9.2255043, 9.2253304, 9.2259693, 9.2261394, 9.2255043]"
grass,"[45.440099, 45.439946, 45.4399422, 45.4399387, 45.4399366, 45.439937, 45.4399391, 45.4399776, 45.439981, 45.4399845, 45.4399887, 45.4400133, 45.4400306, 45.4400483, 45.4400983, 45.4401015, 45.4401035, 45.4401036, 45.4401018, 45.440099]","[9.2240838, 9.2240937, 9.2240937, 9.2240917, 9.2240877, 9.2240823, 9.2240764, 9.224019, 9.2240161, 9.2240151, 9.2240161, 9.2240314, 9.2240408, 9.2240487, 9.2240675, 9.2240694, 9.2240739, 9.2240786, 9.2240821, 9.2240838]"
